,회사명,종목코드
278,한국수출포장공업,2200
279,한국자산신탁,123890
280,한국주강,25890
281,한국콜마홀딩스,24720
282,한샘,9240
283,한솔홀딩스,4150
284,한신기계공업,11700
285,한화에어로스페이스,12450
286,현대자동차,5380
287,효성 ITX,94280
288,휴니드테크놀러지스,5870
289,DSR제강,69730
290,JW중외제약,1060
291,KPX홀딩스,92230
292,KSS해운,44450
293,LF,93050
294,LG하우시스,108670
295,LG화학,51910
296,LIG넥스원,79550
297,LS,6260
298,NAVER,35420
299,NH투자증권,5940
300,NICE,34310
301,NI스틸,8260
302,SH에너지화학,2360
303,SK증권,1510
304,SK하이닉스,660
305,경인양행,12610
306,경인전자,9140
307,기신정기,92440
308,녹십자,6280
309,대교,19680
310,대동전자,8110
311,대림비앤코,5750
312,대양금속,9190
313,대창,12800
314,동국제강,1230
315,동화약품,20
316,두산솔루스,336370
317,디아이동일,1530
318,디아이씨,92200
319,롯데관광개발,32350
320,롯데케미칼,11170
321,맵스리얼티1,94800
322,무학,33920
323,미래아이앤지,7120
324,바다로19호,155900
325,부산주공,5030
326,비케이탑스,30790
327,비티원,101140
328,사조씨푸드,14710
329,삼성물산,28260
330,삼성전자,5930
331,삼성제약,1360
332,삼원강재,23000
333,삼익THK,4380
334,삼일제약,520
335,삼진제약,5500
336,삼화왕관,4450
337,서연,7860
338,선창산업,2820
339,성신양회,4980
340,세기상사,2420
341,세아특수강,19440
342,세우글로벌,13000
343,세원정공,21820
344,세진중공업,75580
345,세화아이엠씨,145210
346,셀트리온,68270
347,신라교역,4970
348,신성통상,5390
349,신세계,4170
350,신풍제약,19170
351,아모레퍼시픽,90430
352,아세아,2030
353,아이에스동서,10780
354,에스제이엠,123700
355,에이리츠,140910
356,에이엔피,15260
357,엔케이,85310
358,엔피씨,4250
359,영원무역홀딩스,9970
360,우리들휴브레인,118000
361,우신시스템,17370
362,우진,105840
363,우진플라임,49800
364,유니드,14830
365,유진증권,1200
366,이건산업,8250
367,이연제약,102460
368,인스코비,6490
369,잇츠한불,226320
370,조광페인트,4910
371,조선내화,480
372,지누스,13890
373,진에어,272450
374,참엔지니어링,9310
375,케이씨씨,2380
376,케이씨씨글라스,344820
377,코리아오토글라스,152330
378,코오롱글로벌,3070
379,태경케미컬,6890
380,태광산업,3240
381,토니모리,214420
382,페이퍼코리아,1020
383,포스코,5490
384,하나제약,293480
385,한국쉘석유,2960
386,한국화장품제조,3350
387,한미글로벌,53690
388,한솔피엔에스,10420
389,한양증권,1750
390,한진중공업,97230
391,한진중공업홀딩스,3480
392,한진칼,180640
393,한화,880
394,한화솔루션,9830
395,현대일렉트릭,267260
396,현대제철,4020
397,황금에스티,32560
398,AK홀딩스,6840
399,CJ씨푸드,11150
400,DB금융투자,16610
401,DGB금융지주,139130
402,E1,17940
403,F&F,7700
404,KC코트렐,119650
405,KEC,92220
406,KISCO홀딩스,1940
407,LG,3550
408,LG디스플레이,34220
409,LS전선아시아,229640
410,NH프라임리츠,338100
411,S&T중공업,3570
412,S&T홀딩스,36530
413,S-Oil,10950
414,SK네트웍스,1740
415,경동인베스트,12320
416,계룡건설산업,13580
417,고려제강,2240
418,국동,5320
419,남양유업,3920
420,노루페인트,90350
421,대상,1680
422,대성홀딩스,16710
423,대우조선해양,42660
424,대호에이엘,69460
425,덴티움,145720
426,동원F&B,49770
427,두산중공업,34020
428,롯데제과,280360
429,만호제강,1080
430,모나미,5360
431,문배철강,8420
432,미창석유공업,3650
433,백광산업,1340
434,벽산,7210
435,부광약품,3000
436,부국철강,26940
437,부산도시가스,15350
438,비상교육,100220
439,사조산업,7160
440,삼성공조,6660
441,삼성생명,32830
442,삼성전기,9150
443,삼양패키징,272550
444,삼화전기,9470
445,샘표,7540
446,서흥,8490
447,세하,27970
448,수산중공업,17550
449,신세계I&C,35510
450,신세계건설,34300
451,신영와코루,5800
452,신영증권,1720
453,신원,9270
454,신풍제지,2870
455,아주캐피탈,33660
456,에스엘,5850
457,에이프로젠 KIC,7460
458,엘브이엠씨,900140
459,엘에스일렉트릭,10120
460,오리온,271560
461,우리금융지주,316140
462,우성사료,6980
463,웰바이오텍,10600
464,유니온,910
465,유안타증권,3470
466,일진머티리얼즈,20150
467,일진전기,103590
468,조광피혁,4700
469,조일알미늄,18470
470,진흥기업,2780
471,카카오,35720
472,케이씨티시,9070
473,케이티,30200
474,코리안리,3690
475,코스맥스비티아이,44820
476,크라운제과,264900
477,크라운해태홀딩스,5740
478,태림포장,11280
479,태원물산,1420
480,티에이치엔,19180
481,팬오션,28670
482,평화산업,90080
483,하나투어,39130
484,하이골드12호,172580
485,한국프랜지공업,10100
486,한독,2390
487,한세엠케이,69640
488,한솔제지,213500
489,한솔케미칼,14680
490,한솔테크닉스,4710
491,한온시스템,18880
492,한진,2320
493,해성디에스,195870
494,현대리바트,79430
495,현대해상,1450
496,혜인,3010
497,화성산업,2460
498,휴비스,79980
499,CS홀딩스,590
500,DB,12030
501,DB손해보험,5830
502,GS리테일,7070
503,HDC,12630
504,JW생명과학,234080
505,KC그린홀딩스,9440
506,KR모터스,40
507,LG유플러스,32640
508,SPC삼립,5610
509,경농,2100
510,경동도시가스,267290
511,경방,50
512,광동제약,9290
513,광주신세계,37710
514,국도화학,7690
515,금비,8870
516,금호타이어,73240
517,남영비비안,2070
518,대림산업,210
519,대림통상,6570
520,대신증권,3540
521,대웅,3090
522,대원강업,430
523,대원전선,6340
524,대원화성,24890
525,대유에이텍,2880
526,더블유게임즈,192080
527,동부건설,5960
528,동성제약,2210
529,동양고속,84670
530,동양철관,8970
531,동원수산,30720
532,롯데쇼핑,23530
533,롯데지주,4990
534,메리츠화재,60
535,미원에스씨,268280
536,부산산업,11390
537,삼광글라스,5090
538,삼성엔지니어링,28050
539,삼익악기,2450
540,삼천리,4690
541,서울식품공업,4410
542,성창기업지주,180
543,세종공업,33530
544,시디즈,134790
545,신도리코,29530
546,쎌마테라퓨틱스,15540
547,씨아이테크,4920
548,아모레퍼시픽그룹,2790
549,아시아나IDT,267850
550,아시아나항공,20560
551,알루코,1780
552,에스제이엠홀딩스,25530
553,엔에스쇼핑,138250
554,오뚜기,7310
555,유성기업,2920
556,유양디앤유,11690
557,이리츠코크렙,88260
558,이수페타시스,7660
559,이아이디,93230
560,인디에프,14990
561,인터지스,129260
562,일동홀딩스,230
563,일진홀딩스,15860
564,자이에스앤디,317400
565,자화전자,33240
566,전방,950
567,제이준코스메틱,25620
568,제이콘텐트리,36420
569,제일기획,30000
570,지투알,35000
571,진양폴리우레탄,10640
